SB,118,0.863,101,0.996
SB,117.400002,0.861,101,1
SB,116.699997,0.864,101,1
SB,116.900002,0.866,101,1
SB,117.699997,0.862,101,1
SB,117.400002,0.863,101,1
SB,117.599998,0.861,101,1
SB,117.599998,0.861,101,1
SB,116.900002,0.867,101,0.998
SB,117,0.867,101,0.999
SB,116.699997,0.872,101,0.997
SB,116.599998,0.872,101,0.995
SB,117.199997,0.869,101,0.994
SB,118.099998,0.859,101,0.998
SB,118.199997,0.856,101,1
SB,118,0.856,101,1
SB,117.699997,0.856,101,1
SB,117,0.864,101,1
SB,117,0.865,101,0.998
SB,117.300003,0.859,101,1
SB,117.699997,0.859,101,1
SB,117.699997,0.857,101,1
SB,117.400002,0.857,100,1
SB,117.599998,0.86,100,0.997
SB,117.699997,0.86,100,0.996
SB,117.199997,0.866,100,0.994
SB,117.099998,0.868,101,0.993
SB,117.800003,0.863,101,0.995
SB,117.400002,0.863,101,0.998
SB,116.800003,0.865,101,1
SB,116.5,0.866,101,1
SB,116.5,0.869,101,0.997
SB,117.099998,0.863,101,1
SB,117,0.861,101,1
SB,116.800003,0.865,100,0.998
SB,117.099998,0.864,100,0.997
SB,117.699997,0.856,100,1
SB,117.900002,0.855,100,1
SB,117.5,0.856,100,1
SB,117.5,0.856,100,1
SB,118,0.857,100,0.996
SB,118.300003,0.858,100,0.993
SB,117.599998,0.86,101,0.998
SB,118.199997,0.858,100,0.994
SB,118.5,0.857,100,0.992
SB,117.5,0.861,101,0.998
SB,117.699997,0.858,100,0.999
SB,117.599998,0.859,100,0.998
SB,117.599998,0.859,100,0.999
SB,117.300003,0.862,100,0.997
SB,116,0.872,100,0.996
SB,116.199997,0.871,100,0.995
SB,116.900002,0.864,100,0.997
SB,116.599998,0.862,100,1
SB,116.300003,0.863,100,1
SB,117.099998,0.857,100,1
SB,118.199997,0.856,100,0.998
SB,117.800003,0.862,101,0.994
SB,116.5,0.87,100,0.994
SB,116.400002,0.871,100,0.995
SB,117.300003,0.867,101,0.993
SB,117,0.867,101,0.994
SB,116.699997,0.873,101,0.992
SB,116.800003,0.87,101,0.994
SB,116.699997,0.869,100,0.994
SB,116.300003,0.867,101,1
SB,115.800003,0.873,101,0.999
SB,116.300003,0.869,101,1
SB,116.099998,0.868,101,1
SB,115.300003,0.872,101,1
SB,116.099998,0.868,100,1
SB,116.099998,0.868,100,1
SB,116,0.868,100,1
SB,116.199997,0.868,101,1
SB,116.099998,0.872,101,0.999
SB,115.800003,0.872,101,1
SB,115.699997,0.873,101,1
SB,116.199997,0.872,101,0.998
SB,116.099998,0.872,101,0.998
SB,116.199997,0.873,101,0.997
SB,116.800003,0.869,101,0.997
SB,117,0.869,101,0.996
SB,117.300003,0.868,101,0.995
SB,117.099998,0.867,101,0.999
SB,116.099998,0.87,101,1
SB,116.099998,0.871,101,1
SB,116.599998,0.868,101,0.999
SB,116.5,0.868,101,1
SB,116.300003,0.868,101,1
SB,116.699997,0.869,101,0.997
SB,116.5,0.871,101,0.996
SB,117,0.866,101,0.997
SB,117,0.864,101,0.998
SB,115.5,0.87,101,1
SB,115.900002,0.871,101,1
SB,115.900002,0.87,101,1
SB,117.099998,0.861,101,1
SB,117.800003,0.86,101,0.998
SB,118.099998,0.859,101,0.998
SB,117.199997,0.862,101,1
SB,116.800003,0.863,101,1
SB,117.199997,0.859,101,1
SB,117.099998,0.861,101,1
SB,117.599998,0.862,101,0.997
SB,117.400002,0.865,101,0.995
SB,116.800003,0.866,100,0.997
SB,116.800003,0.868,101,0.996
SB,116,0.873,101,1
SB,116.300003,0.871,101,0.999
SB,118.099998,0.86,101,0.995
SB,118.699997,0.856,101,0.996
SB,118.800003,0.856,101,0.995
SB,118,0.86,101,0.997
SB,117.599998,0.866,101,0.994
SB,116.400002,0.872,101,0.995
SB,116,0.871,100,0.998
SB,116.599998,0.866,100,0.999
SB,117.099998,0.867,100,0.993
SB,117.199997,0.866,101,0.994
SB,117.300003,0.864,101,0.997
SB,118,0.858,101,0.998
SB,118.300003,0.857,101,0.998
SB,117.800003,0.861,101,0.998
SB,117.900002,0.859,101,0.999
SB,118.599998,0.86,101,0.991
SB,118.599998,0.86,101,0.989
SB,118.699997,0.86,101,0.989
SB,118.599998,0.859,101,0.991
SB,117.800003,0.86,101,0.996
SB,117.699997,0.86,101,0.998
SB,117.599998,0.856,101,1
SB,117.400002,0.856,101,1
SB,116.5,0.864,101,1
SB,115.900002,0.87,101,1
SB,117.099998,0.868,100,0.992
SB,118.099998,0.863,100,0.989
SB,117.800003,0.859,100,0.996
SB,116.900002,0.863,100,0.999
SB,117.300003,0.863,100,0.996
SB,118,0.858,101,0.997
SB,117.199997,0.858,100,1
SB,116.5,0.863,100,1
SB,116.5,0.868,100,0.995
SB,117.099998,0.864,100,0.995
SB,116.800003,0.861,100,1
SB,116.199997,0.864,100,1
SB,115.699997,0.871,100,0.999
SB,115.800003,0.873,100,0.995
SB,116.400002,0.865,100,0.999
SB,116.699997,0.86,100,1
SB,117.800003,0.856,100,0.997
SB,117.699997,0.855,100,0.998
SB,116.599998,0.863,100,1
SB,115.900002,0.866,100,1
SB,116.599998,0.861,100,1
SB,116.699997,0.865,100,0.996
SB,117.400002,0.863,100,0.993
SB,117.900002,0.859,100,0.993
SB,117,0.863,100,0.995
SB,117.800003,0.855,100,0.997
SB,117.099998,0.859,100,0.999
SB,116.5,0.862,100,1
SB,116.199997,0.862,100,1
SB,115.599998,0.866,100,1
SB,115.5,0.869,100,1
SB,115.900002,0.872,100,0.993
SB,116.400002,0.87,100,0.993
SB,118,0.861,100,0.993
SB,118.400002,0.857,100,0.994
SB,117.5,0.862,100,0.996
SB,116.599998,0.868,101,0.998
SB,116.599998,0.868,100,0.997
SB,117.300003,0.866,101,0.994
SB,116.400002,0.867,101,1
SB,115.5,0.866,100,1
SB,115.800003,0.866,100,1
SB,116,0.869,100,0.999
SB,116.300003,0.869,100,0.996
SB,117.400002,0.862,100,0.996
SB,116.900002,0.862,100,1
SB,116.099998,0.863,100,1
SB,116.099998,0.865,100,1
SB,116.599998,0.868,100,0.997
SB,116.5,0.87,100,0.994
SB,117,0.87,100,0.989
SB,117.5,0.868,101,0.99
SB,117.800003,0.867,101,0.99
SB,117.800003,0.863,101,0.994
SB,116.199997,0.862,100,1
SB,115.800003,0.865,100,1
SB,117.300003,0.867,101,0.994
SB,117.699997,0.867,101,0.99
SB,117.099998,0.862,101,1
SB,116.599998,0.865,101,1
SB,116.400002,0.867,100,1
SB,116.400002,0.864,100,1
SB,116.699997,0.86,101,1
SB,117.199997,0.857,101,1
SB,118.099998,0.861,101,0.993
SB,116.5,0.868,101,0.998
SB,116.300003,0.87,101,0.998
SB,116.5,0.866,100,0.998
SB,116.099998,0.869,100,0.998
SB,116.900002,0.864,100,0.997
SB,116.699997,0.865,100,0.998
SB,117.300003,0.862,100,0.996
SB,117.400002,0.859,100,0.998
SB,116.800003,0.862,100,1
SB,117.599998,0.857,100,0.998
SB,117.199997,0.859,100,0.999
SB,116.599998,0.865,100,0.997
SB,117.5,0.86,100,0.997
SB,117.199997,0.857,100,1
SB,117,0.862,100,0.993
SB,117.5,0.861,100,0.991
SB,117.5,0.858,100,0.996
SB,116.699997,0.863,100,0.998
SB,116,0.866,100,1
SB,116.699997,0.861,100,1
SB,116.800003,0.864,100,0.997
SB,116.900002,0.862,100,0.999
SB,117,0.857,100,1
SB,116.900002,0.861,100,1
SB,117.699997,0.857,100,1
SB,116.599998,0.865,100,1
SB,116.199997,0.871,100,0.996
SB,117.699997,0.861,100,0.995
SB,117.199997,0.86,100,0.998
SB,117.199997,0.859,100,0.998
SB,117.699997,0.853,100,1
SB,117,0.855,100,1
SB,116.900002,0.857,100,1
SB,116.900002,0.862,100,0.999
SB,116.400002,0.866,100,0.998
SB,115.800003,0.872,100,0.995
SB,116.300003,0.87,100,0.994
SB,116.300003,0.862,100,1
SB,116.800003,0.858,100,1
SB,116.800003,0.862,100,1
SB,116,0.867,100,1
SB,116.199997,0.872,100,0.994
SB,116.800003,0.871,100,0.99
SB,117.300003,0.864,100,0.994
SB,117.5,0.86,100,0.997
SB,116.400002,0.865,100,1
SB,115.599998,0.872,100,0.999
SB,116.400002,0.866,100,0.999
SB,117.199997,0.859,100,0.999
SB,117.5,0.86,100,0.995
SB,116.599998,0.866,100,0.996
SB,115.599998,0.872,100,0.997
SB,116.099998,0.872,100,0.993
SB,117.400002,0.862,100,0.994
SB,117.800003,0.859,100,0.994
SB,117.300003,0.863,100,0.994
SB,117.300003,0.861,100,0.996
SB,118.199997,0.854,100,0.998
SB,118,0.854,100,1
SB,116.800003,0.862,100,1
SB,116.199997,0.865,100,1
SB,116.099998,0.866,100,1
SB,116,0.87,100,0.998
SB,116.300003,0.873,100,0.992
SB,116.800003,0.871,100,0.99
SB,117,0.867,100,0.993
SB,117.300003,0.864,100,0.994
SB,118.199997,0.856,100,0.996
SB,118.199997,0.854,101,0.999
SB,117,0.861,101,1
SB,116.400002,0.864,101,1
SB,116.900002,0.865,100,0.998
SB,117.099998,0.868,100,0.993
SB,117.099998,0.866,101,0.996
SB,116.800003,0.865,101,1
SB,116.5,0.866,101,1
SB,117.400002,0.863,101,0.996
SB,117.5,0.86,100,0.997
SB,116.699997,0.865,100,0.999
SB,117.599998,0.861,100,0.996
SB,117.5,0.859,100,0.999
SB,117,0.866,100,0.993
SB,117.900002,0.863,100,0.989
SB,117.099998,0.866,100,0.994
SB,116.300003,0.871,101,0.996
SB,117.300003,0.861,101,1
SB,117.900002,0.856,101,1
SB,116.5,0.867,101,0.999
SB,116.5,0.869,100,0.996
SB,117.099998,0.864,101,0.998
SB,116.400002,0.867,101,1
SB,117.400002,0.862,100,0.997
SB,118,0.855,100,0.997
SB,116.300003,0.866,100,0.999
SB,116.199997,0.871,100,0.995
SB,117.599998,0.86,100,0.995
SB,117.5,0.857,100,1
SB,116.599998,0.862,100,1
SB,116.699997,0.865,100,0.997
SB,116.300003,0.864,100,1
SB,116.5,0.86,101,1
SB,116.800003,0.865,100,0.998
SB,117.099998,0.864,100,0.996
SB,117.599998,0.858,100,0.999
SB,117.099998,0.859,101,1
SB,116.099998,0.869,101,1
SB,116.300003,0.872,101,0.996
SB,116.900002,0.864,101,1
SB,116.599998,0.861,101,1
SB,117.099998,0.864,101,0.998
SB,117.800003,0.864,101,0.992
SB,117.400002,0.863,100,0.995
SB,116.800003,0.862,100,1
SB,115.900002,0.868,100,1
SB,116,0.872,100,0.996
SB,117.400002,0.862,100,0.997
SB,117.900002,0.857,101,1
SB,117,0.863,101,1
SB,116.400002,0.867,101,1
SB,116.5,0.873,101,0.995
SB,117,0.868,101,0.995
SB,117.400002,0.86,101,1
SB,116.800003,0.864,101,1
SB,116,0.87,101,1
SB,116.199997,0.871,101,0.997
SB,117.099998,0.862,101,1
SB,117.199997,0.859,101,1
SB,116.199997,0.868,100,1
SB,116.099998,0.872,100,0.996
SB,117.599998,0.863,101,0.995
SB,117.900002,0.858,101,0.999
SB,117.699997,0.862,101,0.997
SB,117.699997,0.866,101,0.992
SB,117.400002,0.863,101,0.997
SB,117.099998,0.862,101,1
SB,117.599998,0.865,101,0.995
SB,118.199997,0.863,101,0.992
SB,117,0.862,101,1
SB,116.400002,0.867,101,1
SB,117.099998,0.87,101,0.993
SB,117.400002,0.863,101,0.999
SB,117,0.865,101,1
SB,117.400002,0.865,101,0.996
SB,117.400002,0.861,101,1
SB,116.5,0.866,101,1
SB,116.300003,0.87,101,0.999
SB,117,0.869,101,0.996
SB,117.400002,0.865,101,0.998
SB,117.199997,0.862,101,1
SB,116.5,0.868,101,1
SB,116.199997,0.872,101,0.998
SB,117.099998,0.867,101,0.995
SB,117.099998,0.862,101,1
SB,116.900002,0.858,101,1
SB,116.5,0.863,100,1
SB,116.300003,0.872,101,0.994
SB,117.199997,0.871,101,0.989
SB,118.300003,0.863,101,0.991
SB,118.099998,0.859,101,0.996
SB,117.199997,0.864,101,0.998
SB,116.800003,0.87,101,0.996
SB,117.400002,0.866,101,0.996
SB,118.199997,0.862,101,0.993
SB,118.599998,0.859,101,0.993
SB,118.5,0.856,101,0.996
SB,116.900002,0.863,101,1
SB,116.199997,0.869,101,1
SB,116.699997,0.868,101,0.998
SB,117.5,0.866,101,0.993
SB,118.5,0.86,101,0.994
SB,118.400002,0.856,101,1
SB,116.599998,0.863,101,1
SB,115.900002,0.869,101,1
SB,116.699997,0.871,100,0.992
SB,117.5,0.866,100,0.99
SB,117.199997,0.863,101,0.999
SB,116.5,0.867,101,1
SB,117.099998,0.87,101,0.991
SB,117.800003,0.865,101,0.991
SB,117.099998,0.866,100,0.994
SB,116,0.871,100,0.995
SB,116.5,0.868,100,0.994
SB,117.5,0.862,100,0.995
SB,116.599998,0.863,100,1
SB,115.800003,0.87,100,0.999
SB,116.800003,0.868,100,0.994
SB,117,0.859,101,1
SB,116.599998,0.865,101,1
SB,118,0.863,101,0.992
SB,118,0.864,101,0.991
SB,116.199997,0.866,101,1
SB,115.599998,0.87,101,1
SB,116.800003,0.87,101,0.994
SB,117.199997,0.869,101,0.991
SB,118,0.859,101,0.996
SB,118.300003,0.855,101,0.999
SB,116.800003,0.865,101,1
SB,116,0.87,101,1
SB,117.099998,0.868,100,0.992
SB,117.900002,0.865,100,0.989
SB,118.099998,0.861,101,0.992
SB,117.699997,0.859,101,0.999
SB,117,0.865,101,1
SB,116.800003,0.87,101,0.995
SB,116.900002,0.868,101,0.995
SB,117.199997,0.862,100,0.999
SB,116.900002,0.859,101,1
SB,116.5,0.866,101,1
SB,117.199997,0.869,101,0.992
SB,117.900002,0.864,101,0.992
SB,118,0.858,101,0.999
SB,117.199997,0.861,101,1
SB,116.599998,0.871,101,0.995
SB,117.300003,0.867,101,0.993
SB,116.900002,0.867,101,0.997
SB,116.199997,0.87,101,0.999
SB,117.400002,0.864,101,0.996
SB,118.199997,0.859,101,0.996
SB,117.300003,0.86,101,1
SB,116.800003,0.863,101,1
SB,116.800003,0.867,101,0.998
SB,116.699997,0.869,101,0.995
SB,117.900002,0.86,100,0.993
SB,118.400002,0.855,100,0.996
SB,116.5,0.864,100,1
SB,115.5,0.87,100,1
SB,115.699997,0.872,100,0.997
SB,116.400002,0.87,100,0.995
SB,117,0.865,101,0.997
SB,117.099998,0.865,101,0.998
SB,118.300003,0.858,101,0.995
SB,118.400002,0.855,101,0.997
SB,117.199997,0.86,101,1
SB,116.300003,0.866,101,1
SB,116.400002,0.87,101,0.998
SB,117.300003,0.868,101,0.992
SB,117.800003,0.864,100,0.991
SB,117.300003,0.861,100,0.999
SB,116.300003,0.864,100,1
SB,116,0.868,100,1
SB,115.900002,0.869,100,1
SB,116.699997,0.869,100,0.993
SB,118.099998,0.86,100,0.993
SB,118.099998,0.855,101,0.999
SB,117.099998,0.863,100,0.997
SB,116.400002,0.868,100,0.997
SB,115.900002,0.867,100,1
SB,115.800003,0.869,100,0.999
SB,115.900002,0.87,100,0.998
NoLoad,114.699997,0,0,0
NoLoad,115.5,0,0,0
NoLoad,115.400002,0,0,0
NoLoad,115.099998,0,0,0
NoLoad,114.300003,0,0,0
NoLoad,114,0,0,0
NoLoad,115.300003,0,0,0
NoLoad,115.900002,0,0,0
NoLoad,116.900002,0,0,0
NoLoad,117.5,0,0,0
NoLoad,117.599998,0,0,0
NoLoad,117.300003,0,0,0
NoLoad,117.599998,0,0,0
NoLoad,117.300003,0,0,0
NoLoad,116.300003,0,0,0
NoLoad,115.900002,0,0,0
NoLoad,115.699997,0,0,0
NoLoad,115.800003,0,0,0
NoLoad,115.099998,0,0,0
NoLoad,116.5,0,0,0
NoLoad,117,0,0,0
NoLoad,117.800003,0,0,0
NoLoad,118.099998,0,0,0
NoLoad,118,0,0,0
NoLoad,116.900002,0,0,0
NoLoad,116.900002,0,0,0
NoLoad,117.199997,0,0,0
NoLoad,116.800003,0,0,0
NoLoad,116.800003,0,0,0
NoLoad,116.400002,0,0,0
NoLoad,116.099998,0,0,0
NoLoad,115.900002,0,0,0
NoLoad,116.599998,0,0,0
NoLoad,113.199997,0,0,0
NoLoad,117.900002,0,0,0
NoLoad,115.599998,0,0,0
NoLoad,114,0,0,0
NoLoad,114.300003,0,0,0
NoLoad,114.400002,0,0,0
NoLoad,114,0,0,0
NoLoad,113.5,0,0,0
NoLoad,112.900002,0,0,0
NoLoad,117.300003,0,0,0
NoLoad,117.599998,0,0,0
NoLoad,117.300003,0,0,0
NoLoad,116.300003,0,0,0
NoLoad,115.900002,0,0,0
NoLoad,115.699997,0,0,0
NoLoad,115.800003,0,0,0
NoLoad,115.099998,0,0,0
NoLoad,116.5,0,0,0
NoLoad,117,0,0,0
NoLoad,117.800003,0,0,0
NoLoad,118.099998,0,0,0
NoLoad,118,0,0,0
NoLoad,116.900002,0,0,0
NoLoad,117.800003,0,0,0
NoLoad,118.099998,0,0,0
NoLoad,118,0,0,0
NoLoad,116.900002,0,0,0
NoLoad,116.900002,0,0,0
NoLoad,117.199997,0,0,0
NoLoad,116.800003,0,0,0
NoLoad,116.800003,0,0,0
NoLoad,116.400002,0,0,0
NoLoad,116.099998,0,0,0
NoLoad,115.900002,0,0,0
NoLoad,116.599998,0,0,0
NoLoad,113.199997,0,0,0
NoLoad,117.900002,0,0,0
NoLoad,117.800003,0,0,0
NoLoad,118.099998,0,0,0
NoLoad,118,0,0,0
NoLoad,116.900002,0,0,0
NoLoad,116.900002,0,0,0
NoLoad,117.199997,0,0,0
NoLoad,116.800003,0,0,0
NoLoad,116.800003,0,0,0
NoLoad,116.400002,0,0,0
NoLoad,116.099998,0,0,0
NoLoad,115.900002,0,0,0
NoLoad,116.599998,0,0,0
NoLoad,113.199997,0,0,0
NoLoad,117.900002,0,0,0
NoLoad,117.300003,0,0,0
NoLoad,116.300003,0,0,0
NoLoad,115.900002,0,0,0
NoLoad,115.699997,0,0,0
NoLoad,115.800003,0,0,0
NoLoad,115.099998,0,0,0
NoLoad,116.5,0,0,0
NoLoad,117,0,0,0
NoLoad,117.800003,0,0,0
NoLoad,118.099998,0,0,0
NoLoad,118,0,0,0
NoLoad,116.900002,0,0,0
NoLoad,117.800003,0,0,0
NoLoad,118.099998,0,0,0
NoLoad,118,0,0,0
NoLoad,117.300003,0,0,0
NoLoad,116.300003,0,0,0
NoLoad,115.900002,0,0,0
NoLoad,115.699997,0,0,0
NoLoad,115.800003,0,0,0
NoLoad,115.099998,0,0,0
NoLoad,116.5,0,0,0
NoLoad,117,0,0,0
NoLoad,117.800003,0,0,0
NoLoad,118.099998,0,0,0
NoLoad,118,0,0,0
